id_wil;kecamatan;kabupaten;provinsi
999999  ;tidak ada;;
016202  ;Kec. Kebon Jeruk;Kota Jakarta Barat;Prov. D.K.I. Jakarta
016307  ;Kec. Mampang Prapatan;Kota Jakarta Selatan;Prov. D.K.I. Jakarta
016207  ;Kec. Cengkareng;Kota Jakarta Barat;Prov. D.K.I. Jakarta
016103  ;Kec. Tanjung Priok;Kota Jakarta Utara;Prov. D.K.I. Jakarta
016106  ;Kec. Cilincing;Kota Jakarta Utara;Prov. D.K.I. Jakarta
016406  ;Kec. Jatinegara;Kota Jakarta Timur;Prov. D.K.I. Jakarta
016404  ;Kec. Makasar;Kota Jakarta Timur;Prov. D.K.I. Jakarta
020509  ;Kec. Caringin;Kab. Bogor;Prov. Jawa Barat
016206  ;Kec. Taman Sari;Kota Jakarta Barat;Prov. D.K.I. Jakarta
016306  ;Kec. Kebayoran Baru;Kota Jakarta Selatan;Prov. D.K.I. Jakarta
016401  ;Kec. Pasar Rebo;Kota Jakarta Timur;Prov. D.K.I. Jakarta
016310  ;Kec. Setia Budi;Kota Jakarta Selatan;Prov. D.K.I. Jakarta
016410  ;Kec. Matraman;Kota Jakarta Timur;Prov. D.K.I. Jakarta
016304  ;Kec. Pesanggrahan;Kota Jakarta Selatan;Prov. D.K.I. Jakarta
016301  ;Kec. Jagakarsa;Kota Jakarta Selatan;Prov. D.K.I. Jakarta
016004  ;Kec. Johar Baru;Kota Jakarta Pusat;Prov. D.K.I. Jakarta
010101  ;Kec. Kepulauan Seribu Selatan;Kab. Kepulauan Seribu;Prov. D.K.I. Jakarta
016402  ;Kec. Ciracas;Kota Jakarta Timur;Prov. D.K.I. Jakarta
020511  ;Kec. Cisarua;Kab. Bogor;Prov. Jawa Barat
010102  ;Kec. Kepulauan Seribu Utara;Kab. Kepulauan Seribu;Prov. D.K.I. Jakarta
016005  ;Kec. Cempaka Putih;Kota Jakarta Pusat;Prov. D.K.I. Jakarta
016208  ;Kec. Kali Deres;Kota Jakarta Barat;Prov. D.K.I. Jakarta
016409  ;Kec. Pulo Gadung;Kota Jakarta Timur;Prov. D.K.I. Jakarta
016007  ;Kec. Sawah Besar;Kota Jakarta Pusat;Prov. D.K.I. Jakarta
016408  ;Kec. Cakung;Kota Jakarta Timur;Prov. D.K.I. Jakarta
020507  ;Kec. Ciomas;Kab. Bogor;Prov. Jawa Barat
016403  ;Kec. Cipayung;Kota Jakarta Timur;Prov. D.K.I. Jakarta
016001  ;Kec. Tanah Abang;Kota Jakarta Pusat;Prov. D.K.I. Jakarta
016309  ;Kec. Tebet;Kota Jakarta Selatan;Prov. D.K.I. Jakarta
016305  ;Kec. Kebayoran Lama;Kota Jakarta Selatan;Prov. D.K.I. Jakarta
020502  ;Kec. Leuwiliang;Kab. Bogor;Prov. Jawa Barat
016405  ;Kec. Kramat Jati;Kota Jakarta Timur;Prov. D.K.I. Jakarta
016302  ;Kec. Pasar Minggu;Kota Jakarta Selatan;Prov. D.K.I. Jakarta
020506  ;Kec. Dramaga;Kab. Bogor;Prov. Jawa Barat
020503  ;Kec. Pamijahan;Kab. Bogor;Prov. Jawa Barat
016006  ;Kec. Kemayoran;Kota Jakarta Pusat;Prov. D.K.I. Jakarta
020501  ;Kec. Nanggung;Kab. Bogor;Prov. Jawa Barat
016101  ;Kec. Penjaringan;Kota Jakarta Utara;Prov. D.K.I. Jakarta
016003  ;Kec. Senen;Kota Jakarta Pusat;Prov. D.K.I. Jakarta
016002  ;Kec. Menteng;Kota Jakarta Pusat;Prov. D.K.I. Jakarta
016104  ;Kec. Koja;Kota Jakarta Utara;Prov. D.K.I. Jakarta
016407  ;Kec. Duren Sawit;Kota Jakarta Timur;Prov. D.K.I. Jakarta
020508  ;Kec. Cijeruk;Kab. Bogor;Prov. Jawa Barat
020510  ;Kec. Ciawi;Kab. Bogor;Prov. Jawa Barat
016102  ;Kec. Pademangan;Kota Jakarta Utara;Prov. D.K.I. Jakarta
016303  ;Kec. Cilandak;Kota Jakarta Selatan;Prov. D.K.I. Jakarta
016105  ;Kec. Kelapa Gading;Kota Jakarta Utara;Prov. D.K.I. Jakarta
016008  ;Kec. Gambir;Kota Jakarta Pusat;Prov. D.K.I. Jakarta
020505  ;Kec. Ciampea;Kab. Bogor;Prov. Jawa Barat
016308  ;Kec. Pancoran;Kota Jakarta Selatan;Prov. D.K.I. Jakarta
020620  ;Kec. Cisaat;Kab. Sukabumi;Prov. Jawa Barat
020633  ;Kec. Bantar Gadung;Kab. Sukabumi;Prov. Jawa Barat
020515  ;Kec. Sukamakmur;Kab. Bogor;Prov. Jawa Barat
020603  ;Kec. Surade;Kab. Sukabumi;Prov. Jawa Barat
020615  ;Kec. Nyalindung;Kab. Sukabumi;Prov. Jawa Barat
020621  ;Kec. Cibadak;Kab. Sukabumi;Prov. Jawa Barat
020627  ;Kec. Kalapa Nunggal;Kab. Sukabumi;Prov. Jawa Barat
020540  ;Kec. Tenjolaya;Kab. Bogor;Prov. Jawa Barat
020630  ;Kec. Kabandungan;Kab. Sukabumi;Prov. Jawa Barat
020624  ;Kec. Cidahu;Kab. Sukabumi;Prov. Jawa Barat
020632  ;Kec. Cikakak;Kab. Sukabumi;Prov. Jawa Barat
020514  ;Kec. Babakan Madang;Kab. Bogor;Prov. Jawa Barat
020629  ;Kec. Cisolok;Kab. Sukabumi;Prov. Jawa Barat
020525  ;Kec. Gunung Sindur;Kab. Bogor;Prov. Jawa Barat
020607  ;Kec. Cidolog;Kab. Sukabumi;Prov. Jawa Barat
020631  ;Kec. Gunung Guruh;Kab. Sukabumi;Prov. Jawa Barat
020626  ;Kec. Parungkuda;Kab. Sukabumi;Prov. Jawa Barat
020532  ;Kec. Ciseeng;Kab. Bogor;Prov. Jawa Barat
020520  ;Kec. Citeureup;Kab. Bogor;Prov. Jawa Barat
020622  ;Kec. Nagrak;Kab. Sukabumi;Prov. Jawa Barat
020531  ;Kec. Tamansari;Kab. Bogor;Prov. Jawa Barat
020539  ;Kec. Leuwisadeng;Kab. Bogor;Prov. Jawa Barat
016205  ;Kec. Tambora;Kota Jakarta Barat;Prov. D.K.I. Jakarta
020519  ;Kec. Gunungputri;Kab. Bogor;Prov. Jawa Barat
020516  ;Kec. Cariu;Kab. Bogor;Prov. Jawa Barat
020608  ;Kec. Sagaranten;Kab. Sukabumi;Prov. Jawa Barat
020614  ;Kec. Cikembar;Kab. Sukabumi;Prov. Jawa Barat
020529  ;Kec. Tenjo;Kab. Bogor;Prov. Jawa Barat
020609  ;Kec. Pabuaran;Kab. Sukabumi;Prov. Jawa Barat
020522  ;Kec. Bojong Gede;Kab. Bogor;Prov. Jawa Barat
020527  ;Kec. Cigudeg;Kab. Bogor;Prov. Jawa Barat
020616  ;Kec. Gegerbitung;Kab. Sukabumi;Prov. Jawa Barat
020517  ;Kec. Jonggol;Kab. Bogor;Prov. Jawa Barat
016203  ;Kec. Palmerah;Kota Jakarta Barat;Prov. D.K.I. Jakarta
020518  ;Kec. Cileungsi;Kab. Bogor;Prov. Jawa Barat
020618  ;Kec. Sukabumi;Kab. Sukabumi;Prov. Jawa Barat
020523  ;Kec. Kemang;Kab. Bogor;Prov. Jawa Barat
020612  ;Kec. Warung Kiara;Kab. Sukabumi;Prov. Jawa Barat
020610  ;Kec. Lengkong;Kab. Sukabumi;Prov. Jawa Barat
020524  ;Kec. Parung;Kab. Bogor;Prov. Jawa Barat
020533  ;Kec. Kelapa Nunggal;Kab. Bogor;Prov. Jawa Barat
020634  ;Kec. Cicantayan;Kab. Sukabumi;Prov. Jawa Barat
020623  ;Kec. Cicurug;Kab. Sukabumi;Prov. Jawa Barat
020617  ;Kec. Sukaraja;Kab. Sukabumi;Prov. Jawa Barat
020521  ;Kec. Cibinong;Kab. Bogor;Prov. Jawa Barat
020613  ;Kec. Jampang Tengah;Kab. Sukabumi;Prov. Jawa Barat
020606  ;Kec. Tegalbuleud;Kab. Sukabumi;Prov. Jawa Barat
020534  ;Kec. Sukajaya;Kab. Bogor;Prov. Jawa Barat
020513  ;Kec. Sukaraja;Kab. Bogor;Prov. Jawa Barat
020619  ;Kec. Kadudampit;Kab. Sukabumi;Prov. Jawa Barat
020512  ;Kec. Megamendung;Kab. Bogor;Prov. Jawa Barat
020604  ;Kec. Jampang Kulon;Kab. Sukabumi;Prov. Jawa Barat
020605  ;Kec. Kalibunder;Kab. Sukabumi;Prov. Jawa Barat
020602  ;Kec. Ciracap;Kab. Sukabumi;Prov. Jawa Barat
020526  ;Kec. Rumpin;Kab. Bogor;Prov. Jawa Barat
020628  ;Kec. Cikidang;Kab. Sukabumi;Prov. Jawa Barat
020530  ;Kec. Parungpanjang;Kab. Bogor;Prov. Jawa Barat
